Date,strategy,bench,position
2026-01-02,0.0018330346379591411,0.0018330346379591411,1.0
2026-01-05,0.006660178462529753,0.006660178462529753,1.0
2026-01-06,0.0059471682236194034,0.0059471682236194034,1.0
2026-01-07,-0.0032234143669693793,-0.0032234143669693793,1.0
2026-01-08,-0.00010151182144413351,-0.00010151182144413351,1.0
2026-01-09,0.006613390447410161,0.006613390447410161,1.0
2026-01-12,0.0015703445496706436,0.0015703445496706436,1.0
2026-01-13,-0.00199942838080458,-0.00199942838080458,1.0
2026-01-14,-0.004915311552799784,-0.004915311552799784,1.0
2026-01-15,0.0027232884465351326,0.0027232884465351326,1.0
2026-01-16,-0.0008377644449499844,-0.0008377644449499844,1.0
2026-01-20,-0.020356834003122604,-0.020356834003122604,1.0
2026-01-21,0.01154108059120329,0.01154108059120329,1.0
2026-01-22,0.005223214802554832,0.005223214802554832,1.0
2026-01-23,0.00036274314526618667,0.00036274314526618667,1.0
2026-01-26,0.005078168996109245,0.005078168996109245,1.0
2026-01-27,0.0039842915730679,0.0039842915730679,1.0
2026-01-28,-0.00010064921396324422,-0.00010064921396324422,1.0
2026-01-29,-0.001984439728138443,-0.001984439728138443,1.0
2026-01-30,-0.0029825340247910948,-0.0029825340247910948,1.0
2026-02-02,0.004971300173138626,0.004971300173138626,1.0
2026-02-03,-0.008455418456572827,-0.008455418456572827,1.0
2026-02-04,-0.004843928082311488,-0.004843928082311488,1.0
2026-02-05,-0.01248919245872293,-0.01248919245872293,1.0
2026-02-06,0.0191847683064843,0.0191847683064843,1.0
2026-02-09,0.00482176499257525,0.00482176499257525,1.0
2026-02-10,-0.002637135289800363,-0.002637135289800363,1.0
2026-02-11,-0.0002310739544192364,-0.0002310739544192364,1.0
2026-02-12,-0.015448908452140975,-0.015448908452140975,1.0
2026-02-13,0.0007046233276368774,0.0007046233276368774,1.0
2026-02-17,0.0016134293041962788,0.0016134293041962788,1.0
2026-02-18,0.005037695790158558,0.005037695790158558,1.0
2026-02-19,-0.002637440014283343,-0.002637440014283343,1.0
2026-02-20,0.0072319245695726675,0.0072319245695726675,1.0
2026-02-23,-0.01021138412746736,-0.01021138412746736,1.0
2026-02-24,0.007268496179203332,0.007268496179203332,1.0
2026-02-25,0.008438229885944226,0.008438229885944226,1.0
2026-02-26,-0.005554395000458845,-0.005554395000458845,1.0
2026-02-27,-0.004801996508287942,-0.004801996508287942,1.0
2026-03-02,0.0005686794289856412,0.0005686794289856412,1.0
2026-03-03,-0.008814360718000014,-0.008814360718000014,1.0
2026-03-04,0.007055426061514547,0.007055426061514547,1.0
2026-03-05,-0.0055756895160732345,-0.0055756895160732345,1.0
2026-03-06,-0.013107084633170007,-0.013107084633170007,1.0
2026-03-09,0.008759940630667318,0.008759940630667318,1.0
2026-03-10,-0.0016071064194473905,-0.0016071064194473905,1.0
2026-03-11,-0.0012551629681688548,-0.0012551629681688548,1.0
2026-03-12,-0.015184930829711507,-0.015184930829711507,1.0
2026-03-13,-0.005660061445393549,-0.005660061445393549,1.0
2026-03-16,0.01017678036768932,0.01017678036768932,1.0
2026-03-17,0.002630641382033616,0.002630641382033616,1.0
2026-03-18,-0.013953630828001051,-0.013953630828001051,1.0
2026-03-19,-0.002464455575723834,-0.002464455575723834,1.0
2026-03-20,-0.014335681872974515,-0.014335681872974515,1.0
2026-03-23,-0.0003566666671207973,0.010499959707213291,0.0
2026-03-24,0.00014365078910948738,-0.0033568197458091475,0.0
2026-03-25,0.00014365078910948738,0.005572720875308912,0.0
2026-03-26,0.00014365078910948738,-0.01785871391108962,0.0
2026-03-27,0.00014313492510053847,-0.017051920414101196,0.0
2026-03-30,0.00014277777974567717,-0.003343373094761515,0.0
2026-03-31,0.00014285713907272098,0.029067828330166412,0.0
2026-04-01,0.00014305555631243994,0.007534524709556623,0.0
2026-04-02,0.00014313492510053847,0.0009004486514896382,0.0
2026-04-06,0.00014376983756110782,0.004726890756302504,0.0
2026-04-07,0.00014345238133082314,0.00043997599961653755,0.0
2026-04-08,0.00014285713907272098,0.0254696046172882,0.0
2026-04-09,0.005269005826991691,0.005769005826991691,1.0
2026-04-10,-0.0006617045143784139,-0.0006617045143784139,1.0
2026-04-13,0.009772427509418202,0.009772427509418202,1.0
2026-04-14,0.01218482451098879,0.01218482451098879,1.0
2026-04-15,0.00789104262604634,0.00789104262604634,1.0
2026-04-16,0.0024573146961406334,0.0024573146961406334,1.0
2026-04-17,0.012085709684531931,0.012085709684531931,1.0
2026-04-20,-0.0019997769579219726,-0.0019997769579219726,1.0
2026-04-21,-0.006546877598048839,-0.006546877598048839,1.0
2026-04-22,0.010126679110719516,0.010126679110719516,1.0
2026-04-23,-0.0038807172806204493,-0.0038807172806204493,1.0
2026-04-24,0.007749329558953688,0.007749329558953688,1.0
2026-04-27,0.0017227696705925943,0.0017227696705925943,1.0
2026-04-28,-0.0048659811570929135,-0.0048659811570929135,1.0
2026-04-29,-0.00015454822141547364,-0.00015454822141547364,1.0
2026-04-30,0.009949685183250345,0.009949685183250345,1.0
2026-05-01,0.00276905737155686,0.00276905737155686,1.0
2026-05-04,-0.0036633809509297732,-0.0036633809509297732,1.0
2026-05-05,0.008022242913074518,0.008022242913074518,1.0
2026-05-06,0.013899418730159985,0.013899418730159985,1.0
2026-05-07,-0.0030660889376450395,-0.0030660889376450395,1.0
2026-05-08,0.008256054754597786,0.008256054754597786,1.0
2026-05-11,0.0022775635209937306,0.0022775635209937306,1.0
2026-05-12,-0.0015148976832113359,-0.0015148976832113359,1.0
2026-05-13,0.005594852718878274,0.005594852718878274,1.0
2026-05-14,0.007894249484761584,0.007894249484761584,1.0
2026-05-15,-0.012029288059682064,-0.012029288059682064,1.0
2026-05-18,-0.0007035134425675826,-0.0007035134425675826,1.0
2026-05-19,-0.006660801173054454,-0.006660801173054454,1.0
2026-05-20,0.0102489448693448,0.0102489448693448,1.0
2026-05-21,0.0019831294549137457,0.0019831294549137457,1.0
2026-05-22,0.003931565762728351,0.003931565762728351,1.0
2026-05-26,0.006638589859918387,0.006638589859918387,1.0
