Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有
2010-03-05,0.01667381237284538,0.015077561084392014,0.01645871018390882,0.016348640695553526,0.009171125524674814,0.01952705612931046,0.008389062181902928,0.009750495080787541,0.003547276672010122,0.017703205689131758,0.01117214969512314,0.02045444279443563,0.0030371515425883845,0.009591473078710874,0.0167318519403069,0.017139610453734622,0.014293680485113258
2010-03-08,-0.0026469433955361686,-7.108532672096281e-05,-0.0014324720194020366,-0.00031780029044566754,-0.01649540385676945,-0.002218846077636429,-0.0005166894282171128,-0.001087163470064528,-0.0069408738231992555,-0.005314658263621825,-0.0017180007126532675,0.006417225684667998,0.0003907384635836895,0.0039177335801508315,0.0015819497702969775,-0.009872199280281163,0.00017482668029167314
2010-03-09,0.001249756066810789,0.001373807116090646,0.00253870526379594,-0.00712483395685525,-0.0036494454085186667,0.0022200700617509665,0.0004883973700233623,-2.7822517562536176e-05,8.216647908879777e-06,0.00036353056605445053,4.7490867239767705e-05,0.015107693468641041,-0.000628564090359084,-0.001286692590952838,0.003643566499495927,-0.0013465386817410438,0.0016626707502054305
2010-03-10,0.006925193159561305,0.004443495166985383,0.007777613671068114,0.00614892557542026,0.01803029767360507,0.017637776115276192,0.002629673167258257,0.0011387500940906055,0.002844383818577243,0.014485128444478489,0.0016474188754848152,0.023058712986944823,0.002282519443053358,0.005240717147781096,0.00903842466774859,0.01666603318779638,0.004455587915913384
2010-03-11,0.005147786082900648,0.003905731732769796,0.0014518265255789072,0.004857734145511476,0.005007386230986703,0.003513705102603026,0.0033827887389173486,0.003649491620366814,0.00262335695624802,0.005577677596746043,0.005637370049196293,0.011019680067118563,0.00034750856170267277,0.006931178018981611,0.0058261326916504265,0.004521626933020354,0.004175270436562739
2010-03-12,-0.0005364906591594687,0.00048618405065222684,0.0026213372281819946,0.01531836135985199,0.003046567040626939,0.0017716350170377756,-0.00011116184606452957,-0.0012564398799404645,0.00017724918899834734,-0.0025867388017286096,-0.005958432876371289,-0.01349611347881612,0.00017016371510002938,0.00568216421051937,-0.0011655034851205239,0.00255502783785619,8.672668887355073e-05
2010-03-15,-0.0023565148828299165,-0.0011526318072381928,-0.0004241141697084787,-0.008828595341033314,-0.014410410718983278,0.000852863497386358,0.0012857355732689682,0.0038456296393516672,0.008441880534436615,0.0015038570872977915,0.003848270680787314,-0.004006376003919222,-0.0007355891039594442,0.0017020672843448162,-0.0023130944670693623,0.0018316098685209666,0.0002593586580523777
2010-03-16,0.01089440498676958,0.010201391187244321,0.014897678708817773,0.016432662138648763,0.009810952462537251,0.014258679059320167,0.005054397590486887,0.005499819471116187,0.002586878471207206,0.013536686405912204,0.01098743230543554,0.015695333236869564,0.0037334803726455164,0.0050783006890505,0.010240698865321425,0.014769340704458962,0.007966156170807093
2010-03-17,0.008082738518769419,0.007377562326466492,0.012729672415631459,-0.0019235302240924305,-0.00336343453251432,0.018186966920278998,0.00411336921757578,0.004289871429625836,0.00692469914955106,0.014775654660451061,0.0083062962593425,0.010767128652194511,0.0009856699193275952,0.004919339127992291,0.006023327868732773,0.02011220696700869,0.005927222472930094
2010-03-18,-0.00227963381900298,-0.0014667336999237251,-0.0028808746628936816,-0.004431785224873215,-0.007262088125784405,-0.00874544173520904,0.00043896069250816893,0.0008530898254566313,0.0014876191679228275,-0.003311646255788371,0.0038233289299882387,-0.007382671019914039,-0.001212808306471223,-0.0002171173330817229,-0.0012335900068422701,-0.012352760117557218,-0.0005116278947649988
2010-03-19,-0.0068830683707487945,-0.007798616740083766,-0.009350837306956274,-0.0039949679722657006,-0.013622959637625802,-0.016850971260221243,-0.0026875906801992347,-0.0019414472028112355,-0.0002874155559273605,-0.011722710690783926,-0.0046382516203109835,-0.017049181272148415,-0.0027277817151599867,-0.008974833066764182,-0.007764459019229102,-0.017292072531876312,-0.005062420170454218
2010-03-22,0.0122063727607856,0.008409333672032233,0.01608869965838803,0.007949312030883747,-0.0007560687608455841,0.020292746879919978,0.005106775176647625,0.002562995103074971,0.006554935343266111,0.016996160018185148,0.001955373640057567,0.012209771419635515,0.0034717380787376477,0.01288786734394099,0.0060544631281755894,0.027686535807959135,0.005346305937402374
2010-03-23,0.006019808050524045,0.00658376593992638,0.008702912510782123,0.01146542058887076,0.009567723163320318,0.005292265644338835,0.003209549229140497,0.003238102056431799,-0.0013786831079464564,0.005061122556999909,0.010132652375765532,0.012354040976918057,0.002362021741665944,0.0026024781299628717,0.0077100854488496885,0.0012364234037910004,0.007033307188077709
2010-03-24,-0.0028714618192944865,-0.006818731507921321,-0.0034875244088518973,0.0007054176321254256,-0.004300195274768878,-0.0036323260817413346,-0.004023282193319517,-0.007824759611694524,-0.008355583788564212,-0.007318895835037193,0.0015480803624866048,0.0057837733451890794,-0.0018055414224211303,-0.008205717094065021,-0.0035691435292828835,-0.008571575655625033,-0.004854871091954371
2010-03-25,-0.006177932952873925,-0.0027682034141901504,-0.0057281659159501425,-0.005097505530155502,-0.003012252453738905,-0.005538357586070872,-0.002455321384125852,-0.004700121196563531,-0.003992470543493343,-0.00739148255946666,-0.017217741453096302,0.00794710903160267,-0.001362939344682209,0.001008690342981819,0.0006818648093656831,-0.011229620059774466,-0.0016259814611557788
2010-03-26,0.00022790740233322128,0.0021694698477943202,0.0021870920829564146,0.00483744439482589,-0.013283279675197233,-0.0015081806778268344,2.111292046416759e-05,0.000715010745647899,-0.005712298719717683,-0.004342945732525615,0.000608657089911392,0.007483124700265133,0.00048606167224865283,-0.001097555553737758,0.0020326294951786054,-0.003452419120336536,-0.0006002148349133485
2010-03-29,0.008202234841712001,0.006496161946949169,0.008387509790701781,0.009198527014993347,0.015445622522219269,0.009069556558266358,0.005192751234234174,0.007992342866335512,0.008987574369236662,0.009254140981953301,0.015566730566007905,0.0038248648173870867,0.001346986654442501,0.0015530831706380944,0.005224387549543812,0.009803373251155208,0.006347450676001731
2010-03-30,-0.0013738388823058977,0.0013440474325111663,-0.0037943286172964366,-0.003341627822497609,-0.007046025408391874,-0.0055085377770324895,-4.016859868577633e-05,0.0015324754641606953,-0.001260095537276804,-0.0007960970547618684,-0.0006969422909402152,-0.008186051162932891,-0.0006546483288953992,0.000843787675923825,-0.00047651385405003926,-0.007616757015497258,0.000682216540854208
2010-03-31,-0.004518286461855947,-0.00456214407333202,-0.005608486731942566,-0.011460966820986134,-0.004053275395455664,-0.0041589243149352945,-0.003069135720064106,-0.0034349535013661566,-0.0027961285467645153,-0.007309085917338809,0.0014300818778431642,-0.0034412798561490442,-0.0008533299709620334,-0.006659708302637114,-0.0031903969813726362,-0.004455926972113603,-0.003407453155017337
2010-04-01,0.0035014730745153576,0.00830487436566564,0.009155453067836036,0.012791003064704345,0.008969337027180117,0.010750518482512765,0.007518404103934611,0.007491773997735948,0.007030297644935127,0.005950895632925028,0.012287385015291025,0.01339786393265743,0.002044217680920223,0.005874951707139376,0.007510846017067228,0.014721272262652574,0.006837858248038842
