Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有,成分股等权 (月调仓)
2010-01-19,0.014583299526749013,0.014020034922539407,1.9841270136927804e-06,0.019738190914820104,0.0223372893915929,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,0.012680086050649386,1.9841270136927804e-06,1.9841270136927804e-06,0.00584992450478732,1.9841270136927804e-06,1.9841270136927804e-06,0.012495464962728242,1.9841270136927804e-06
2010-01-20,-0.01185041636601288,-0.011883173485298514,1.9841270136927804e-06,-0.005859319328242812,-0.017511465209315392,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,-0.00592687886791471,1.9841270136927804e-06,1.9841270136927804e-06,-0.018231692501018137,1.9841270136927804e-06,1.9841270136927804e-06,-0.010168945636680693,1.9841270136927804e-06
2010-01-21,-0.008516298371872793,-0.018681831961238116,1.5873015518226319e-06,-0.04251412565185207,0.013917687761492523,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,-0.02747934922574102,1.5873015518226319e-06,1.5873015518226319e-06,-0.01192607164284871,1.5873015518226319e-06,1.5873015518226319e-06,-0.01922928102918986,1.5873015518226319e-06
2010-01-22,-0.02510057717937936,-0.024147360421823767,1.7857143566721963e-06,-0.028686643196721033,-0.022056803083290014,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.04371517738436469,1.7857143566721963e-06,1.7857143566721963e-06,-0.04049256869202372,1.7857143566721963e-06,1.7857143566721963e-06,-0.0222916840224322,1.7857143566721963e-06
2010-01-25,0.0054751425610928064,0.0037466115829952306,1.7857143566721963e-06,0.0007350290203207398,0.007339472376778674,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,0.006047699200897363,1.7857143566721963e-06,1.7857143566721963e-06,0.0,1.7857143566721963e-06,1.7857143566721963e-06,0.005127627167584192,1.7857143566721963e-06
2010-01-26,0.003975015260488218,-0.005459239786072911,2.579364984754532e-06,-0.01644894678016335,0.0014040461746550783,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,-0.0024473805570982337,2.579364984754532e-06,2.579364984754532e-06,0.007146580879291209,2.579364984754532e-06,2.579364984754532e-06,-0.004190445496713546,2.579364984754532e-06
2010-01-27,0.0015658235177688665,0.007069894611438785,2.7777777896040964e-06,0.004912544340619182,0.007084115874406529,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,0.010247846520982543,2.7777777896040964e-06,2.7777777896040964e-06,0.0016808353305817203,2.7777777896040964e-06,2.7777777896040964e-06,0.004757293377394278,2.7777777896040964e-06
2010-01-28,-0.012737961300606681,-0.012005391959158708,2.7777777896040964e-06,-0.01466220494680112,-0.00985792404075193,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,-0.021112670423826866,2.7777777896040964e-06,2.7777777896040964e-06,-0.011185631375998373,2.7777777896040964e-06,2.7777777896040964e-06,-0.011472543669614588,2.7777777896040964e-06
2010-01-29,-0.016331688418466956,-0.012596340800795872,2.7777777896040964e-06,-0.01575760304717026,-0.010507187397198352,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,-0.026839357230568288,2.7777777896040964e-06,2.7777777896040964e-06,-0.009803752860428006,2.7777777896040964e-06,2.7777777896040964e-06,-0.0108680990388752,2.7777777896040964e-06
2010-02-01,0.016986740337437824,0.015101405814309242,-0.0009966269840915051,0.011843758523666101,0.02072111481151271,-0.000996626984091505,-0.00032996031742483855,-0.000996626984091505,-0.000996626984091505,-0.0009966269840915051,0.0304130214054829,-0.000996626984091505,3.3730159084948284e-06,0.02437149804258909,-0.000996626984091505,-0.0009966269840915051,0.015550532718186849,-0.000996626984091505
2010-02-02,0.017603216608169072,0.013913993252104328,0.016800727169130364,0.00961944429894306,0.021472197257368573,0.019513409558363087,0.004927755273721903,0.01141547683287129,0.015952319234609574,0.023171016150153757,0.011533195416878696,0.011096805771359498,3.5714287133443927e-06,0.040891830751528024,0.01239109401926617,0.016765319195345126,0.012103171694596293,0.015151671183332212
2010-02-03,-0.0017516974895704625,-0.011434596535836752,-0.014954501416029253,-0.03376864749932132,-0.010939600078825185,-0.008886891309993416,-0.003502475253415696,-0.005343947837399759,-0.008885740371693852,-0.013510434740501068,-0.004778371720862594,-4.5621225125147286e-05,3.5714287133443927e-06,0.009178557294107548,-0.004781517585881195,-0.005289076285937903,-0.004982473048046221,-0.008668577417267846
